,16S_1,16S_10,16S_100,16S_101,16S_102,16S_103,16S_104,16S_105,16S_106,16S_107,16S_108,16S_109,16S_11,16S_110,16S_111,16S_112,16S_113,16S_114,16S_115,16S_116,16S_117,16S_118,16S_119,16S_12,16S_120,16S_121,16S_122,16S_123,16S_124,16S_125,16S_126,16S_127,16S_128,16S_129,16S_13,16S_130,16S_131,16S_132,16S_133,16S_134,16S_135,16S_136,16S_137,16S_138,16S_139,16S_14,16S_140,16S_141,16S_142,16S_143,16S_144,16S_145,16S_146,16S_147,16S_148,16S_149,16S_15,16S_150,16S_151,16S_152,16S_153,16S_154,16S_16,16S_17,16S_18,16S_19,16S_2,16S_20,16S_21,16S_22,16S_23,16S_24,16S_25,16S_26,16S_27_r,16S_28,16S_28_r,16S_29,16S_3,16S_30,16S_31,16S_32,16S_33,16S_34,16S_35_r,16S_36,16S_37_r,16S_38,16S_39,16S_4,16S_40,16S_41,16S_42,16S_43,16S_44,16S_45,16S_46,16S_47,16S_48,16S_5,16S_50,16S_51,16S_51_r,16S_52,16S_52_r,16S_53,16S_53_r,16S_54,16S_54_r,16S_55,16S_56,16S_57,16S_58,16S_59,16S_6,16S_60,16S_61,16S_62,16S_63,16S_64,16S_65,16S_66,16S_67,16S_68,16S_69,16S_7,16S_70,16S_71,16S_72,16S_73,16S_74,16S_75,16S_76,16S_78_r,16S_79,16S_8,16S_80_r,16S_81,16S_82,16S_83,16S_84,16S_84_manual,16S_85_r,16S_86,16S_87,16S_88_r,16S_9,16S_90_r,16S_92_r,16S_93,16S_94,16S_95,16S_96_r,16S_97,16S_97_r,16S_98_r,16S_99,16S_P1_ext_neg,16S_P1_mPNA_NTC,16S_P1_mock,16S_P237_NOV_2020,16S_P26_NOV_2020,16S_P2_NTC1_pPNA,16S_P2_ext_neg_1,16S_P2_ext_neg_2,16S_P2_mock,16S_P2_mock_pPNA,16S_P41_NOV_2020,16S_P42_NOV_2020,16S_P43_NOV_2020,16S_P44_NOV_2020
Otu00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00002,6,0,1048,1162,488,1149,104,1086,581,1087,810,831,3,1432,1090,1234,632,91,174,709,213,1117,773,18,788,871,620,1107,107,955,866,719,628,489,0,657,746,276,110,435,376,930,515,1138,553,0,0,1,1,0,4,2,0,0,6,0,4,4,2,2,1,0,0,3,0,2,4,0,2,2,0,2,9,0,0,0,0,2,0,7,1,0,5,4,0,3,2,4,0,36,1,0,4,0,1,3,0,2,0,0,0,0,0,0,5,1,0,0,2,0,0,21,3,1,2,1,5,2,3,0,0,0,3,6,2,0,1,0,0,6,0,3,1,9,0,0,11,7,5,3,0,5,7,2,1,0,5,0,7,0,0,0,0,11,0,0,0,0,0,1,0,0,2715,0,0,0,4,10,0,0,9
Otu00003,3,1,4,0,3,0,3,3,0,3,3,2,6,1,0,0,4,1,5,0,2,1,1,2,3,1,4,1,1,3,1,1,3,0,0,3,0,5,1,1,3,1,4,3,0,2458,1,1,1,3,1,0,0,3,1,4,3136,0,1,1,1,1,5,4,6,6,4,2,3,1,3,5,4,2,4930,3,3,4115,1,2,1,0,0,0,4739,0,4798,1,1,14,0,30,6,4850,1,3,0,4,0,5,8,0,0,4,2,1,4,1,0,1,28,1,1,1,3,3,4,5,0,3161,1,2,4191,3645,1,3972,0,0,0,3,1,0,4554,0,1,0,9,6,3,1,5,8,4350,4,3324,2,4,4938,2,1,2,4037,5,0,19,0,2,42,0,0,1,4,0,0,0,1,1,4,3,1,4
Otu00005,6,0,634,892,432,1043,49,944,398,993,393,748,6,686,1061,1011,379,76,149,427,121,594,411,26,467,523,391,1133,4,496,430,447,419,341,0,437,1643,166,1,304,291,1252,346,718,272,0,0,0,3,0,3,1,4,0,3,0,0,1,2,1,3,1,0,0,0,3,7,0,6,3,0,3,8,0,0,0,1,2,0,1,3,1,5,1,5,0,1,16,1,22,1,0,5,2,4,1,3,2,0,2,0,0,0,2,3,5,0,0,11,0,20,3,2,4,0,5,6,3,5,3,2,4,2,3,1,3,3,0,1,3,2,0,0,0,3,7,0,2,3,2,0,4,6,1,4,0,3,0,0,3,2,0,0,8,0,0,0,11,0,0,0,0,0,0,0,2,1,0,0,2,0
Otu00006,3819,146,0,6,2,13,1,8,2,3,32,9,7,0,4,0,4,14,16,8,14,23,11,447,0,3,0,0,53,0,2,6,0,2,1875,4,0,11,5,3,3,3,3,0,37,27,2,1,0,1,0,1,3,0,5,0,0,1,0,4,3,2,2441,0,9,0,5,262,9,3904,0,9,0,15,0,457,2472,0,2,2134,0,74,12,36,0,3055,0,2099,0,4,242,9,18,0,599,24,3077,21,118,14,15,80,1170,50,1773,14,24,299,3610,0,0,40,738,1043,934,18,3647,0,1456,1,1664,786,0,0,1532,2,22,182,125,3477,297,770,2,42,9,3237,27,4,0,237,0,11,6,209,0,819,15,0,815,7,2,0,1108,633,1258,398,12,0,0,1,0,3,0,1222,0,0,1,18,0,1,17
Otu00007,0,0,0,1,0,0,1,2,0,4,33,0,0,0,3,1,0,0,9,0,5,26,0,3823,0,0,1,3,1,0,0,0,2,0,2450,0,0,0,0,0,0,4,0,0,22,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,3,1,2136,0,0,0,1,1062,0,0,0,1,0,0,0,4332,2369,0,0,2540,0,0,0,0,0,0,1,7,1,0,0,3,0,0,873,0,1342,0,0,0,0,1180,793,2865,1895,0,0,4327,1150,0,0,1,0,2130,1239,0,526,0,2244,0,1484,1002,0,1,1048,1,0,0,0,14,374,2979,0,0,0,0,0,1,0,0,0,1,6,0,0,619,1,0,763,0,0,0,173,237,295,2605,0,0,0,1,0,0,0,72,0,0,2,0,0,1,6
Otu00008,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,2,1,1,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1064,875,3709,1690,722,1305,80,181,2,0,0,0,2,0,0,0,1,0,2,7,2,0,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,2,0,0,5,0,0,3,0,1,0,2,4,0,0,0,0,1,1,2,0,0,2,0,2,0,1,1,0,1,1,0,0,0,2,0,1,0,2,0,2,0,0,0,1,0,0,0,0,4,0,3,0,1,0,0,0,2,0,0,0,1,0,1,0,0,2,0,1,1,0,0,3,1,12,0,0,0,3,0,0,0,4
Otu00009,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2249,2338,598,1616,396,892,91,229,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,0,0,2,0,0,2,0,1
Otu00010,0,0,391,406,138,418,64,389,192,394,278,289,0,602,431,450,209,35,62,223,75,361,252,10,291,297,169,355,1,302,285,242,194,178,0,257,271,89,0,146,127,383,114,388,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00011,0,0,0,1,2,3,3,0,0,2,0,0,0,1,1,2,1,0,0,0,0,0,2,0,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,1,0,0,2,0,3,0,0,3,2,0,0,0,0,0,0,0,29,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,10,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,7,0,2,0,0,0,4946,4961,0,0,0,0,0,4529,4061,4848,4472
Otu00013,0,0,131,163,44,12,319,44,243,16,329,239,1,0,21,67,383,154,648,281,631,127,527,4,507,130,330,9,137,431,158,350,535,537,0,261,0,85,12,353,386,10,76,61,687,0,0,0,0,0,2,0,0,0,6,0,2,2,4,0,0,0,0,5,324,0,48,0,0,3,0,265,10,2,0,7,2,0,0,2,4,0,2,0,0,17,0,0,0,23,0,2,5,0,8,0,0,3,0,0,0,0,0,0,11,0,0,4,0,0,4,0,1,35,6,0,0,0,10,0,1,0,2,1,0,0,0,0,0,3,0,3,0,0,1,0,0,0,8,0,0,1,0,0,0,0,3,0,13,0,1,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Otu00014,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,0,1,8,1,1,1,0,1,2,0,0,43,0,0,15,0,0,1,0,0,0,0,12,2,0,0,0,2,1,0,1190,4,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,85,0,0,0,0,67,0,198,0,0,79,0,0,0,0,255,1,231,0,1,1067,0,0,0,0,490,1421,1,1797,0,2,6,1251,0,2,0,1562,0,1,0,0,0,1433,1621,0,0,736,2428,0,4,3,30,1358,0,142,0,127,0,4,8,2,136,6,125,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,14,4,11,0,6,4,0,2,2,13,8,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2
Otu00015,3,0,185,296,163,256,106,249,142,261,180,153,0,175,239,320,149,76,67,160,83,180,195,2,337,192,182,258,0,221,214,124,139,172,0,157,348,100,0,195,166,242,169,159,227,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
Otu00018,0,55,0,0,108,0,0,0,1,3,5,29,21,0,0,0,3,12,4,3,0,11,1,0,6,3,45,0,0,3,2,2,6,12,0,3,0,3,0,1,8,0,60,1,29,233,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,306,0,14,0,0,74,0,417,0,0,1157,3,0,0,96,168,0,208,5,1007,29,20,0,28,0,205,32,32,60,11,17,0,21,0,680,7,23,28,0,0,0,0,27,41,0,0,282,85,0,0,0,3,23,0,172,0,299,10,3,182,174,1,197,497,13,6,0,0,0,154,40,144,0,0,7,0,8,75,203,128,22,27,0,922,10,0,116,0,46,3,13,0,0,0,11,0,0,0,0,0,188,0,0,0,0,0,0,0
Otu00020,0,0,158,123,107,135,66,123,124,218,205,120,0,165,128,142,191,25,52,167,90,153,144,6,179,225,112,150,0,129,218,129,161,230,0,194,63,47,1,219,155,167,69,230,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
