"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"16S_100"	"99619 (44301 uniques)"	"96131 (1468 uniques)"	"89140 (1310 uniques)"
"16S_101"	"110493 (44373 uniques)"	"107094 (1071 uniques)"	"100294 (1040 uniques)"
"16S_102"	"106310 (39702 uniques)"	"103988 (798 uniques)"	"99009 (742 uniques)"
"16S_103"	"164739 (61217 uniques)"	"160861 (1765 uniques)"	"151508 (1711 uniques)"
"16S_104"	"114901 (46870 uniques)"	"111680 (1268 uniques)"	"104340 (1031 uniques)"
"16S_105"	"145061 (56667 uniques)"	"141924 (1518 uniques)"	"133256 (1471 uniques)"
"16S_106"	"89946 (40482 uniques)"	"86937 (1437 uniques)"	"80438 (1219 uniques)"
"16S_107"	"145137 (56261 uniques)"	"141078 (1473 uniques)"	"131831 (1459 uniques)"
"16S_108"	"103463 (46280 uniques)"	"100057 (1645 uniques)"	"92054 (1391 uniques)"
"16S_109"	"147588 (60356 uniques)"	"143816 (1425 uniques)"	"134743 (1380 uniques)"
"16S_10"	"86411 (32892 uniques)"	"85291 (450 uniques)"	"82543 (390 uniques)"
"16S_110"	"128287 (48140 uniques)"	"125098 (1453 uniques)"	"117824 (1411 uniques)"
"16S_111"	"172462 (61395 uniques)"	"167977 (1651 uniques)"	"158785 (1694 uniques)"
"16S_112"	"243607 (84008 uniques)"	"238809 (1790 uniques)"	"225905 (1917 uniques)"
"16S_113"	"144540 (62731 uniques)"	"140123 (1826 uniques)"	"130056 (1635 uniques)"
"16S_114"	"85635 (35516 uniques)"	"83736 (1195 uniques)"	"78898 (1066 uniques)"
"16S_115"	"110466 (46286 uniques)"	"107048 (1143 uniques)"	"98657 (972 uniques)"
"16S_116"	"90805 (39500 uniques)"	"88001 (1335 uniques)"	"81958 (1144 uniques)"
"16S_117"	"109010 (46183 uniques)"	"105285 (1240 uniques)"	"97987 (1096 uniques)"
"16S_118"	"184268 (72082 uniques)"	"180498 (2171 uniques)"	"170981 (2138 uniques)"
"16S_119"	"215312 (82902 uniques)"	"211273 (2311 uniques)"	"200259 (2282 uniques)"
"16S_11"	"121747 (31787 uniques)"	"120719 (331 uniques)"	"118567 (272 uniques)"
