sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
16S_100	1789	239	207	116	118	133	136	96	78	86	76	68	62	41	16	15	10	5
16S_101	1368	297	239	111	101	114	151	122	88	75	72	57	52	43	8	14	4	0
16S_102	1188	168	142	107	113	102	100	93	70	71	56	37	26	16	11	10	1	2
16S_103	1965	438	367	197	176	182	194	145	120	93	110	82	62	42	17	14	3	2
16S_104	1623	118	160	140	182	184	157	141	123	95	94	73	51	35	14	10	4	4
16S_105	1833	363	296	160	143	154	163	113	105	125	96	68	46	43	19	10	5	2
16S_106	1727	172	178	116	106	131	141	99	88	67	75	59	39	45	15	13	11	0
16S_107	1766	433	333	164	167	163	161	123	133	140	100	73	46	33	31	22	5	1
16S_108	2103	197	199	149	134	147	156	140	97	100	100	86	63	44	23	10	7	2
16S_109	1927	340	303	188	199	208	176	120	115	107	105	80	49	33	25	14	2	4
16S_10	535	33	55	64	81	54	34	52	38	47	35	20	17	14	4	4	0	0
16S_110	1533	359	301	141	102	119	148	89	76	62	75	71	65	25	13	11	7	0
16S_111	1897	464	376	204	152	164	174	157	116	116	108	75	57	41	36	11	2	3
16S_112	2181	690	645	316	252	256	275	187	180	143	145	100	76	62	27	20	7	4
16S_113	2532	295	325	181	189	216	195	179	150	133	146	105	58	62	27	31	8	8
16S_114	1341	110	119	123	97	99	106	80	55	63	52	46	32	25	14	5	4	0
16S_115	1725	181	196	179	172	236	180	172	132	146	119	76	45	50	24	23	3	2
16S_116	1526	179	166	78	82	108	106	91	72	51	63	54	46	39	13	13	6	4
16S_117	1732	191	214	154	195	177	162	147	122	120	95	88	59	50	15	20	6	7
16S_118	2732	424	392	211	204	208	192	145	123	122	105	92	63	31	21	8	2	4
16S_119	3032	459	417	245	206	242	232	176	167	150	115	104	67	59	22	21	7	5
16S_11	347	14	24	28	24	19	28	15	12	17	8	12	11	9	8	1	1	0
16S_120	2448	460	406	286	198	217	245	187	159	116	119	81	80	31	25	13	3	4
16S_121	3134	470	418	225	214	237	264	170	175	132	131	120	75	72	24	22	6	7
16S_122	1665	230	195	119	160	155	146	130	111	85	92	65	59	32	11	10	5	3
16S_123	1344	316	276	122	99	98	118	101	87	80	74	46	46	27	16	13	4	2
16S_124	1613	209	200	160	127	117	106	96	86	85	62	54	44	33	18	15	7	4
16S_125	1496	208	178	99	86	118	109	99	71	64	63	55	33	36	20	14	5	1
16S_126	2280	306	326	179	159	183	172	148	115	83	92	90	46	42	20	16	1	2
16S_127	3210	477	463	279	245	268	233	231	193	190	177	140	90	66	29	33	4	7
16S_128	2322	243	273	167	151	155	182	148	143	129	105	93	70	39	28	15	5	6
16S_129	1918	210	210	134	120	129	128	124	93	84	85	67	58	38	29	10	7	2
16S_12	184	9	3	9	3	4	7	1	3	7	0	2	4	1	0	0	0	0
16S_130	2030	234	247	149	150	163	171	139	120	113	110	85	65	49	20	16	4	3
16S_131	1200	331	276	125	113	105	106	80	92	61	76	55	52	29	18	4	3	1
16S_132	2190	172	200	127	185	174	154	148	128	106	114	96	51	38	25	20	6	8
16S_133	1166	329	340	205	149	88	79	59	64	41	32	25	10	17	7	12	5	0
16S_134	1978	228	224	132	121	135	155	147	104	106	84	80	36	38	22	16	1	1
16S_135	2868	279	316	218	191	213	191	168	151	124	115	106	78	49	11	12	9	3
16S_136	1921	487	385	226	166	143	201	161	126	105	99	74	65	36	22	13	10	3
16S_137	1271	249	226	163	158	132	143	102	88	62	62	44	40	21	10	6	2	2
16S_138	2184	371	313	167	155	163	174	151	129	96	108	71	66	45	21	11	4	5
16S_139	1613	168	150	100	112	124	129	93	101	68	82	75	52	34	17	14	3	4
16S_13	347	55	32	25	19	18	10	17	12	19	10	13	7	8	1	1	0	1
16S_140	760	177	167	161	172	130	135	93	76	68	45	29	33	15	7	9	1	2
16S_141	688	176	172	189	175	157	135	94	74	62	45	32	20	11	3	9	1	0
16S_142	575	155	162	150	142	149	88	62	58	41	24	32	15	17	5	7	2	0
16S_143	1077	273	296	289	241	231	188	119	109	78	59	43	39	24	16	7	3	1
16S_144	1361	631	635	483	445	340	217	186	166	128	104	74	58	36	26	20	4	1
16S_145	1165	216	257	256	227	207	187	125	117	98	72	45	33	24	8	9	3	4
16S_146	1303	214	209	240	244	237	226	192	144	128	98	89	62	47	19	19	7	7
16S_147	936	95	102	161	129	116	103	81	80	61	53	41	20	23	5	12	2	0
16S_148	2328	331	348	364	303	353	326	303	278	275	209	181	130	138	48	33	7	8
16S_149	1983	270	300	271	286	255	234	155	160	139	103	100	70	55	32	22	8	9
16S_14	229	20	19	19	22	17	12	17	7	11	8	9	6	4	4	0	0	1
16S_150	3674	371	552	577	593	618	558	541	411	398	329	222	185	145	76	57	19	11
16S_151	2214	240	381	356	323	324	307	288	267	235	151	149	91	81	33	25	6	4
16S_152	3534	384	563	539	513	542	547	519	469	372	326	261	201	166	65	50	23	13
16S_153	1640	164	177	207	226	226	229	198	135	178	79	73	63	37	21	8	3	1
16S_154	3002	486	560	573	647	489	562	404	413	290	201	192	122	92	46	38	10	4
16S_15	125	14	5	3	11	8	9	9	5	3	4	8	1	4	0	0	0	0
16S_16	107	7	1	21	5	3	5	7	1	6	7	0	1	2	2	1	0	0
16S_17	995	69	82	83	64	65	64	50	72	60	43	42	28	21	14	11	2	3
16S_18	176	4	7	14	9	8	4	6	5	4	5	1	6	2	1	1	1	0
16S_19	238	6	19	18	18	15	20	11	10	6	10	8	5	3	2	1	1	0
16S_1	309	21	23	14	26	25	15	11	7	17	13	11	5	6	2	3	1	1
16S_20	900	52	76	90	77	67	73	62	57	42	32	49	19	17	4	6	4	4
16S_21	1146	66	95	79	120	89	104	83	63	66	48	56	31	25	22	18	0	2
