"","Genus","Species"
"Otu00002",NA,NA
"Otu00004",NA,NA
"Otu00005","Prochlorococcus","marinus"
"Otu00006",NA,NA
"Otu00007",NA,NA
"Otu00008","Flavobacterium","cheonhonense"
"Otu00009",NA,NA
"Otu00011","Acaryochloris","marina"
"Otu00012","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu00013",NA,NA
"Otu00015",NA,NA
"Otu00017","Prochlorococcus","marinus"
"Otu00019",NA,NA
"Otu00020",NA,NA
"Otu00021",NA,NA
"Otu00022",NA,NA
"Otu00023",NA,NA
"Otu00024",NA,NA
"Otu00026",NA,NA
"Otu00027",NA,NA
"Otu00028",NA,NA
"Otu00029",NA,NA
"Otu00030",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu00031",NA,NA
"Otu00032",NA,NA
"Otu00033",NA,NA
"Otu00034","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu00035","Epibacterium","ulvae"
"Otu00036",NA,NA
"Otu00037",NA,NA
"Otu00038",NA,NA
"Otu00039",NA,NA
"Otu00040",NA,NA
"Otu00041",NA,NA
"Otu00042","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu00043",NA,NA
"Otu00044","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu00045","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu00046",NA,NA
"Otu00047","Geobacter","lovleyi/thiogenes"
"Otu00048",NA,NA
"Otu00049",NA,NA
"Otu00050",NA,NA
"Otu00051",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu00052","Pseudoalteromonas","agarivorans/antarctica/arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/marina/nigrifaciens/paragorgicola/spongiae/translucida"
"Otu00053",NA,NA
"Otu00054",NA,NA
"Otu00055",NA,NA
"Otu00056",NA,NA
"Otu00057",NA,NA
"Otu00058",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu00059",NA,"halocynthiae/italica"
"Otu00060",NA,NA
"Otu00061",NA,NA
"Otu00062",NA,NA
"Otu00063",NA,NA
"Otu00064",NA,NA
"Otu00065",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu00066","Novosphingobium","aromaticivorans/subterraneum"
"Otu00067",NA,NA
"Otu00068","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
