	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling_100	12-Lulu_100
16S_1	56685	46807	46807	46807 (13243 uniques)	45735 (338 uniques)	43854 (252 uniques)	25699 (242 uniques)	25507 (236 uniques)	25507 (236 uniques)	25507 (236 uniques)	20872 (194 uniques)	20860 (188 uniques)	5000 (161 uniques)	5000 (158 uniques)
16S_10	97975	86411	86411	86411 (32892 uniques)	85291 (450 uniques)	82543 (390 uniques)	82532 (387 uniques)	80601 (334 uniques)	80601 (334 uniques)	80601 (334 uniques)	69940 (331 uniques)	69937 (329 uniques)	5000 (254 uniques)	5000 (247 uniques)
16S_100	114779	99619	99619	99619 (44301 uniques)	96131 (1468 uniques)	89140 (1310 uniques)	89026 (1172 uniques)	87119 (1130 uniques)	87119 (1130 uniques)	87119 (1130 uniques)	86742 (1097 uniques)	86726 (1089 uniques)	5000 (676 uniques)	5000 (591 uniques)
16S_101	126440	110493	110493	110493 (44373 uniques)	107094 (1071 uniques)	100294 (1040 uniques)	100101 (861 uniques)	97547 (811 uniques)	97547 (811 uniques)	97547 (811 uniques)	96825 (774 uniques)	96803 (762 uniques)	5000 (468 uniques)	5000 (366 uniques)
16S_102	123415	106310	106310	106310 (39702 uniques)	103988 (798 uniques)	99009 (742 uniques)	98991 (664 uniques)	94604 (560 uniques)	94604 (560 uniques)	94604 (560 uniques)	93151 (538 uniques)	93136 (530 uniques)	5000 (350 uniques)	5000 (289 uniques)
16S_103	185548	164739	164739	164739 (61217 uniques)	160861 (1765 uniques)	151508 (1711 uniques)	151365 (1456 uniques)	147780 (1382 uniques)	147780 (1382 uniques)	147780 (1382 uniques)	145463 (1308 uniques)	145430 (1291 uniques)	5000 (667 uniques)	5000 (536 uniques)
16S_104	132363	114901	114901	114901 (46870 uniques)	111680 (1268 uniques)	104340 (1031 uniques)	103731 (990 uniques)	99865 (892 uniques)	99865 (892 uniques)	99865 (892 uniques)	99609 (879 uniques)	99571 (857 uniques)	5000 (528 uniques)	5000 (489 uniques)
16S_105	165796	145061	145061	145061 (56667 uniques)	141924 (1518 uniques)	133256 (1471 uniques)	133149 (1246 uniques)	130225 (1191 uniques)	130225 (1191 uniques)	130225 (1191 uniques)	128604 (1131 uniques)	128582 (1119 uniques)	5000 (633 uniques)	5000 (508 uniques)
16S_106	103134	89946	89946	89946 (40482 uniques)	86937 (1437 uniques)	80438 (1219 uniques)	80412 (1136 uniques)	79307 (1104 uniques)	79307 (1104 uniques)	79307 (1104 uniques)	79107 (1082 uniques)	79082 (1068 uniques)	5000 (718 uniques)	5000 (652 uniques)
16S_107	165219	145137	145137	145137 (56261 uniques)	141078 (1473 uniques)	131831 (1459 uniques)	131772 (1200 uniques)	127216 (1092 uniques)	127216 (1092 uniques)	127216 (1092 uniques)	125761 (1030 uniques)	125727 (1011 uniques)	5000 (555 uniques)	5000 (425 uniques)
